iter	RMSE
0	45041.4853611	44659.7808222	44172.8396
3	43728.05689
4	43374.44525
5	42964.41189
6	42580.39097
7	42235.69532
8	41872.0955
9	41558.56274
10	41214.4791
11	40943.99693
12	40638.24483
13	40362.74574
14	40077.56882
15	39781.21382
16	39524.0194
17	39241.91728
18	39032.27918
19	38822.23754
20	38608.71961
21	38461.36232
22	38275.50334
23	38076.48484
24	37885.97435
25	25	37773.16426	26	37585.29927	27	37467.3528	328	37300.1129	329	37112.4530	330	36977.9231	331	36807.3232	332	36693.0533	33	36560.334	3634	36424.235	3635	36270.536	3636	36149.237	3537	35999.838	3538	35866.939	3539	35731.240	3540	35594.041	3541	35489.942	342	35413.4743	343	35267.6144	344	35167.2245	345	35071.93215
46	34941.6377
47	34878.11048	48	34731.5749	349	34604.4050	350	34461.3551	351	34350.3752	352	34238.553	3453	34139.654	3454	34062.58555
55	33949.90059
56	33826.80441
57	33722.04146
58	33616.66269
59	33491.5872
60	33422.08058
61	33297.78874
62	33227.51128
63	33179.37856
64	33100.75803
65	33032.11836
66	32953.28274
67	32871.12033
68	32803.57316
69	32752.92271
70	32686.29632
71	32630.25172
72	32564.92804
73	32464.9967
74	32401.75081
75	32330.99327
76	32278.72357
77	32214.41611
78	32146.91678
79	32086.62973
80	32048.82247
81	31972.48414
82	31902.06346
83	31829.20166
84	31762.82883
85	31717.17067
86	31634.1662
87	31521.98819
88	31458.59346
89	31401.19562
90	31318.43092
91	31269.36753
92	31234.24726
93	31202.21534
94	31136.98842
95	31051.57906
96	30993.12269
97	30949.01574
98	30897.68866
99	30829.19149
100	30800.21008
101	30761.51748
102	30716.95529
103	30684.44809
104	30635.05604
105	30585.07622
106	30551.84698
107	30502.63572
108	30453.11523
109	30407.72969
110	30378.05226
111	30325.39744
112	30274.35686
113	30242.19114
114	30201.73249
115	30180.07368
116	30141.89428
117	30093.97558
118	30018.01291
119	29975.96121
120	29949.13507
121	29912.98225
122	29875.75915
123	29819.121
124	29772.5591
125	29760.66946
126	29706.02814
127	29686.7813
128	29640.40057
129	29610.3271
130	29530.66251
131	29471.68373
132	29410.43988
133	29384.39348
134	29345.88242
135	29312.41568
136	29240.53414
137	29182.54046
138	29136.50512
139	29078.38508
140	29023.14214
141	28966.77553
142	28895.01291
143	28846.22312
144	28779.53872
145	28727.47946
146	28677.9565
147	28650.75055
148	28625.17903
149	28587.09999
150	28539.96265
151	28497.67387
152	28457.76292
153	28421.47431
154	28368.72842
155	28331.93167
156	28296.54389
157	28241.2779
158	28192.12081
159	28150.83418
160	28077.05391
161	28021.71587
162	27975.14294
163	27923.01358
164	27872.61257
165	27786.71343
166	27729.59863
167	27698.551
168	27656.68481
169	27567.97899
170	27526.54467
171	27476.56566
172	27448.02216
173	27393.61065
174	27374.37104
175	27340.31752
176	27298.5934
177	27233.10807
178	27205.5301
179	27177.93479
180	27149.59485
181	27104.7125
182	27063.60554
183	27014.77043
184	26990.49271
185	26948.52605
186	26904.95708
187	26864.292818188	26840.496919189	26818.74219190	26778.895719191	26722.978819192	26684.196219193	26649.099319194	26585.989119195	26550.370019196	26513.707619197	26477.550419198	26433.343820199	26400.68172200	26366.145922201	26317.258922202	26268.327812203	26256.386022204	26238.281562205	26182.053720206	26139.23412207	26074.079172208	25983.416621209	25924.616821210	25878.792221211	25806.700321212	25765.077021213	25737.280621214	25694.546021215	25665.056021216	25625.997621217	25585.20219	218	25549.69220	219	25498.58221	220	25459.78222	221	25419.67223	222	25372.40224	223	25331.94225	224	25280.7226	2225	25206.8227	2226	25169.9228	25955.30543
229	25916.63046
230	25907.60401
231	25891.65254
232	25863.73048
233	25827.07077
234	25820.37199
235	25787.60738
236	25776.34139
237	25770.62805
238	25731.52142
239	25720.07217
240	25678.4917
241	25640.27418
242	25616.26059
243	25538.6741
244	25511.87256
245	25481.84634
246	25451.73994
247	25418.76064
248	25412.35827
249	25375.02759
250	25354.36746
251	25322.99519
252	25290.85
253	25261.7316
254	25242.19246
255	25189.84056
256	25153.96013
257	25102.5177
258	25069.39304
259	25036.34209
260	24986.54521
261	24967.74732
262	24937.97896
263	24929.88768
264	24879.48427
265	24866.04376
266	24857.48948
267	24822.85658
268	24807.8062
269	24805.36202
270	24792.5476
271	24753.08803
272	24719.76645
273	24692.70489
274	24674.2401
275	24617.07174
276	24553.42498
277	24509.61106
278	24497.90527
279	24467.84354
280	24449.17827
281	24408.70372
282	24366.67023
283	24326.4414
284	24309.51322
285	24284.87358
286	24262.21454
287	24208.38716
288	24171.20064
289	24143.59279
290	24106.90689
291	24074.54871
292	24055.6846
293	24022.62721
294	24007.15328
295	23972.94026
296	23961.40713
297	23944.393
298	23921.24299
299	23887.39319
300	23876.32077
301	23856.44117
302	23826.86626
303	23811.52174
304	23772.78212
305	23759.37303
306	23720.91707
307	23681.75202
308	23649.89917
309	23628.26709
310	23596.72447
311	23558.27445
312	23518.70798
313	23508.60478
314	23478.85451
315	23461.9419
316	23428.00503
317	23399.3507
318	23375.21507
319	23364.34583
320	23344.92323
321	23326.88242
322	23311.58641
323	23274.698
324	23264.0404
325	23200.14481
326	23115.31094
327	23104.05784
328	23070.68456
329	23046.04472
330	23003.27701
331	22992.03924
332	22965.3299
333	22912.70665
334	22884.27812
335	22869.48107
336	22849.31867
337	22814.12612
338	22774.39385
339	22754.84779
340	22717.78663
341	22699.22467
342	22670.66689
343	22653.22351
344	22625.40047
345	22614.42435
346	22595.49389
347	22571.83446
348	22552.20532
349	22518.38734
350	22490.93238
351	22443.91596
352	22420.58633
353	22405.03077
354	22366.6954
355	22323.86882
356	22308.88292
357	22282.473
358	22263.99715
359	22242.77031
360	22221.84062
361	22186.98325
362	22169.30772
363	22141.83169
364	22101.55915
365	22087.93436
366	22074.58474
367	22045.59015
368	22009.82736
369	21991.40495
370	21977.08241
371	21936.84059
372	21916.85876
373	21900.91154
374	21885.02519
375	21856.98686
376	21827.25996
377	21819.24325
378	21783.77666
379	21772.62479
380	21731.92741
381	21708.18729
382	21698.98319
383	21672.25586
384	21643.18697
385	21617.84378
386	21607.66991
387	21583.32019
388	21536.94395
389	21512.57564
390	21471.97177
391	21460.38073
392	21447.37999
393	21423.05638
394	21410.68492
395	21394.03348
396	21345.63415
397	21321.86657
398	21295.88476
399	21271.93496
400	21239.6196
401	21232.27759
402	21213.88912
403	21196.57215
404	21122.70526
405	21104.55934
406	21090.0957
407	21075.61727
408	21049.48541
409	21032.3519
410	20981.97968
411	20951.87849
412	20909.94308
413	20883.14605
414	20853.71941
415	20827.10464
416	20816.20365
417	20811.45983
418	20787.56706
419	20762.6113
420	20737.14033
421	20693.33151
422	20673.03956
423	20653.78078
424	20629.80832
425	20588.70466
426	20553.96062
427	20538.59092
428	20491.77019
429	20472.87427
430	20461.3437
431	20424.39316
432	20400.7423
433	20394.87822
434	20361.40595
435	20316.2
436	20296.97646
437	20247.98967
438	20234.60851
439	20228.04853
440	20188.88429
441	20156.52211
442	20125.8835
443	20104.29153
444	20067.75194
445	20061.89534
446	20050.90854
447	20031.64084
448	19997.05747
449	19985.46243
450	19942.62499
451	19925.6586
452	19912.99727
453	19891.4657
454	19858.53282
455	19842.01926
456	19775.77177
457	19737.36035
458	19702.43137
459	19682.00252
460	19633.37968
461	19610.08371
462	19591.94268
463	19575.7976
464	19548.01405
465	19541.74211
466	19522.26236
467	19506.34571
468	19489.15234
469	19454.32091
470	19444.41136
471	19426.75105
472	19411.52505
473	19366.52891
474	19352.21559
475	19323.58851
476	19299.33263
477	19276.14049
478	19266.03845
479	19250.46662
480	19235.05927
481	19210.92079
482	19196.21739
483	19179.09092
484	19142.31865
485	19126.0315
486	19089.39989
487	19069.75861
488	19066.03438
489	19048.26612
490	18982.98053
491	18964.46011
492	18948.60581
493	18933.93798
494	18918.18721
495	18890.60293
496	18881.54378
497	18865.1363
498	18832.37807
499	18821.59643
500	18764.09195
501	18718.33403
502	18686.91805
503	18664.7817
504	18639.55003
505	18608.40353
506	18586.50936
507	18537.26762
508	18519.5941
509	18510.10523
510	18483.52834
511	18472.51264
512	18454.91912
513	18440.65983
514	18401.13161
515	18377.66201
516	18357.50864
517	18328.57374
518	18308.19045
519	18293.77946
520	18277.02612
521	18272.56177
522	18226.3176
523	18198.81186
524	18143.67388
525	18090.83161
526	18070.50934
527	18050.35393
528	18031.36869
529	17982.43407
530	17958.83241
531	17940.11343
532	17920.60903
533	17890.31414
534	17874.84555
535	17830.49236
536	17822.20301
537	17804.7911
538	17788.44184
539	17765.84927
540	17739.78494
541	17711.18785
542	17690.85372
543	17674.97154
544	17643.66284
545	17607.45077
546	17588.64257
547	17569.01438
548	17555.89413
549	17534.98678
550	17521.26547
551	17511.10768
552	17462.12971
553	17455.19853
554	17415.85895
555	17390.60576
556	17375.32148
557	17361.80481
558	17329.52197
559	17317.71161
560	17313.59051
561	17291.78137
562	17282.69476
563	17258.07803
564	17250.47888
565	17234.67916
566	17218.67308
567	17194.84909
568	17175.20851
569	17154.40175
570	17123.99331
571	17102.72905
572	17077.29966
573	17061.5414
574	17048.01461
575	17026.80901
576	17010.39539
577	16991.28154
578	16943.41521
579	16934.24702
580	16907.21179
581	16891.57281
582	16858.03913
583	16835.97946
584	16820.15761
585	16785.15968
586	16770.10361
587	16753.66982
588	16743.54123
589	16733.95147
590	16715.27746
591	16701.50079
592	16683.16084
593	16661.36612
594	16630.14659
595	16619.77617
596	16604.43691
597	16591.4642
598	16557.58197
599	16529.39526
600	16505.43551
601	16457.7705
602	16418.94138
603	16400.60961
604	16374.68872
605	16357.41077
606	16348.68729
607	16334.75134
608	16325.72763
609	16311.84066
610	16295.96
611	16277.11547
612	16247.40197
613	16231.43816
614	16222.89006
615	16194.894
616	16165.13583
617	16147.65379
618	16140.57183
619	16122.20097
620	16098.30722
621	16072.32943
622	16045.21027
623	16021.278
624	15998.69565
625	15963.79671
626	15940.49953
627	15922.95392
628	15896.76692
629	15875.85508
630	15858.76735
631	15844.15735
632	15828.5096
633	15814.49742
634	15805.56232
635	15790.69161
636	15783.18424
637	15766.34275
638	15742.47639
639	15736.49137
640	15724.17161
641	15702.81966
642	15684.47017
643	15671.18792
644	15651.77108
645	15643.73827
646	15622.56506
647	15591.30887
648	15577.38914
649	15544.06564
650	15521.48031
651	15506.28845
652	15490.11831
653	15474.52503
654	15444.50676
655	15431.62456
656	15411.44621
657	15396.958
658	15379.72261
659	15338.77413
660	15308.12569
661	15289.68238
662	15270.07154
663	15243.04215
664	15232.07045
665	15216.75702
666	15202.3704
667	15190.05051
668	15167.72438
669	15151.63475
670	15126.77595
671	15115.2336
672	15088.52094
673	15057.53427
674	15025.69631
675	15019.1166
676	15002.0241
677	14982.42788
678	14951.01562
679	14936.7473
680	14924.22578
681	14919.80481
682	14900.15467
683	14883.19604
684	14855.84858
685	14822.85501
686	14803.54492
687	14789.47873
688	14766.22102
689	14757.334
690	14743.62473
691	14728.7317
692	14708.89808
693	14696.25283
694	14668.61155
695	14650.10153
696	14627.36323
697	14603.61125
698	14593.22716
699	14584.03137
700	14572.99503
701	14560.28656
702	14550.8919
703	14541.74018
704	14522.4115
705	14508.20136
706	14499.15642
707	14481.8615
708	14463.47852
709	14446.4837
710	14438.98461
711	14425.44684
712	14397.83762
713	14384.95148
714	14367.08998
715	14349.02177
716	14331.40713
717	14308.97269
718	14299.16881
719	14290.51869
720	14276.0446
721	14259.1006
722	14233.76892
723	14220.95483
724	14204.65684
725	14195.45045
726	14181.96789
727	14158.86684
728	14144.97243
729	14135.79446
730	14119.81755
731	14107.53351
732	14100.90315
733	14078.42127
734	14065.20712
735	14050.95183
736	14039.45462
737	14030.7974
738	14023.56971
739	14010.69939
740	13991.94717
741	13969.628
742	13952.49501
743	13937.07706
744	13914.46058
745	13903.74895
746	13899.42572
747	13889.82272
748	13857.94393
749	13842.00898
750	13819.77838
751	13795.299
752	13765.08955
753	13752.94266
754	13741.19298
755	13734.60093
756	13719.15106
757	13694.7097
758	13682.37439
759	13659.20418
760	13645.03227
761	13640.1815
762	13630.82018
763	13610.25279
764	13570.09704
765	13558.12153
766	13522.3314
767	13503.07824
768	13494.72567
769	13475.36285
770	13459.19643
771	13451.15104
772	13447.90087
773	13434.55496
774	13414.85498
775	13406.52805
776	13397.67046
