iter	Passed	Remaining
0	1	1865
1	3	1701
2	4	1645
3	6	1581
4	8	1657
5	10	166066	11	163177	13	164088	14	159999	15	1576110	17	1553111	18	1540112	20	1529113	21	1514114	23	1520115	24	1515116	26	1508117	27	1511118	29	1502119	30	1497220	31	1490221	33	1491222	34	1481223	36	1471224	37	146725	39	1485
26	41	1496
27	43	1494
28	44	1489
29	45	1485
30	47	1484
31	49	1482
32	50	1477
33	51	1476
34	53	1472
35	55	1487
36	57	1485
37	58	1479
38	59	1477
39	61	1475
40	62	1472
41	64	1471
42	65	1468
43	67	1463
44	68	1462
45	70	1462
46	72	1477
47	74	1479
48	76	1476
49	77	1473
50	78	1468
51	80	1465
52	81	1463
53	83	1464
54	85	1463
55	86	1465
56	88	1465
57	90	1464
58	91	1462
59	93	1460
60	94	1458
61	96	1457
62	97	1453
63	99	1451
64	100	1448
65	102	1452
66	104	1453
67	105	1451
68	107	1449
69	108	1443
70	109	1438
71	111	1433
72	112	1431
73	114	1426
74	115	1423
75	117	1427
76	120	1439
77	121	1437
78	123	1435
79	124	1432
80	125	1428
81	127	1424
82	128	1421
83	130	1418
84	131	1416
85	133	1414
86	135	1418
87	136	1416
88	138	1415
89	139	1413
90	141	1412
91	142	1409
92	144	1406
93	145	1403
94	147	1402
95	148	1400
96	150	1402
97	152	1403
98	153	1400
99	155	1398
100	156	1395
101	158	1392
102	159	1389
103	160	1386
104	162	1385
105	163	1382
106	165	1379
107	167	1381
108	168	1379
109	170	1377
110	171	1375
111	173	1372
112	174	1369
113	175	1367
114	177	1366
115	179	1364
116	180	1362
117	181	1358
118	183	1358
119	185	1357
120	186	1355
121	187	1352
122	189	1350
123	191	1350
124	192	1349
125	194	1346
126	195	1343
127	196	1341
128	198	1339
129	200	1338
130	201	1336
131	203	1335
132	204	1332
133	205	1330
134	207	1328
135	208	1327
136	210	1324
137	211	1322
138	213	1319
139	214	1316
140	215	1314
141	217	1313
142	218	1310
143	220	1308
144	221	1306
145	222	1303
146	224	1301
147	225	1298
148	227	1297
149	228	1296
150	230	1294
151	232	1294
152	233	1292
153	234	1289
154	236	1288
155	237	1285
156	239	1283
157	240	1281
158	242	1280
159	243	1278
160	245	1277
161	246	1275
162	248	1274
163	249	1272
164	251	1270
165	252	1268
166	253	1266
167	255	1264
168	256	1262
169	258	1260
170	259	1258
171	261	1257
172	263	1257
173	264	1256
174	266	1254
175	267	1252
176	269	1251
177	270	1250
178	272	1249
179	273	1246
180	275	1244
181	276	1242
182	277	1240
183	279	1239
184	281	1238
185	282	1236
186	283	1234
187	285	1233
188	286	1231
189	288	1229
190	289	1228
191	291	1225
192	292	1222
193	293	1220
194	295	1221
195	297	1219
196	298	1217
197	300	1216
198	301	1214
199	303	1212
200	304	1210
201	305	1207
202	307	1206
203	308	1204
204	310	1202
205	311	1202
206	313	1200
