fecha,lluvia,temperatura
1/01/2021,0,34.9
2/01/2021,0,36.5
3/01/2021,0,33.2
4/01/2021,0,36.5
5/01/2021,0,30.9
6/01/2021,0,29.4
7/01/2021,0,36.3
8/01/2021,0,36.6
9/01/2021,2.5,34.2
10/01/2021,0,37.7
11/01/2021,27.5,28.8
12/01/2021,0,28.6
13/01/2021,0,31.2
14/01/2021,0,31.2
15/01/2021,41.75,24.6
16/01/2021,0.25,28.5
17/01/2021,0,28.3
18/01/2021,0,32.3
19/01/2021,0,33.2
20/01/2021,0,33.6
21/01/2021,0,32.4
22/01/2021,0,34.5
23/01/2021,0,35.7
24/01/2021,0,36.9
25/01/2021,0,36.5
26/01/2021,42.25,31.1
27/01/2021,0.25,35.5
28/01/2021,17,26.5
29/01/2021,33.25,29.4
30/01/2021,29.5,21.2
31/01/2021,1.25,21.1
1/01/2022,26,26.5
2/01/2022,2.25,34.4
3/01/2022,0,37.6
4/01/2022,9.5,32.5
5/01/2022,0,29.9
6/01/2022,0,30.2
7/01/2022,0,33.8
8/01/2022,0,33.2
9/01/2022,0,35.5
10/01/2022,0,38.7
11/01/2022,0,41.7
12/01/2022,0,40.4
13/01/2022,0,42.6
14/01/2022,0,42.1
15/01/2022,2,42.4
16/01/2022,18,35.6
17/01/2022,10,30.6
18/01/2022,0,28.7
19/01/2022,1,32.1
20/01/2022,0,37
21/01/2022,0,39.3
22/01/2022,0,30.4
23/01/2022,21.25,30.3
24/01/2022,0,31.9
25/01/2022,2.75,31.5
26/01/2022,1,32.1
27/01/2022,0,26.7
28/01/2022,0,29.4
29/01/2022,0,32.1
30/01/2022,0,34.5
31/01/2022,0,31.4
1/01/2023,5,25.8
2/01/2023,0,34.2
3/01/2023,0,35.1
4/01/2023,0,36.3
5/01/2023,0,36.8
6/01/2023,0,39.6
7/01/2023,0,39.8
8/01/2023,0,39
9/01/2023,0,39.1
10/01/2023,0,41.7
11/01/2023,4.25,33.2
12/01/2023,3.25,26.7
13/01/2023,0.25,33.7
14/01/2023,0,36.7
15/01/2023,0,39.2
16/01/2023,0,40.8
17/01/2023,0,41.6
18/01/2023,4,29.7
19/01/2023,0,40.1
20/01/2023,33,39.6
21/01/2023,18.25,32.9
22/01/2023,0,35.8
23/01/2023,0,35.6
24/01/2023,0.5,32.5
25/01/2023,0,33.8
26/01/2023,0,36.5
27/01/2023,15.75,27.5
28/01/2023,0.25,33
29/01/2023,0,33.5
30/01/2023,0,34.2
31/01/2023,0,34.8
1/02/2021,0.5,27.8
2/02/2021,0.5,25.6
3/02/2021,0,28.5
4/02/2021,0,29.4
5/02/2021,0,31.5
6/02/2021,0,32.9
7/02/2021,0,33.3
8/02/2021,0,26.5
9/02/2021,0,27.4
10/02/2021,0,28.8
11/02/2021,0,28.3
12/02/2021,0.25,30.3
13/02/2021,0.25,30.3
14/02/2021,0,30.5
15/02/2021,0,29.3
16/02/2021,0,28
17/02/2021,0,31.8
18/02/2021,0,34.1
19/02/2021,0,29.2
20/02/2021,0,30.2
21/02/2021,0,34
22/02/2021,0,34.8
23/02/2021,0,32.5
24/02/2021,0,33.3
25/02/2021,0,34.1
26/02/2021,0,33.8
27/02/2021,0,34.3
28/02/2021,0,34.2
1/02/2022,0,35.1
2/02/2022,3.5,39.4
3/02/2022,2.5,33.9
4/02/2022,4.25,30.7
5/02/2022,2.5,26.6
