mes,smv_ars,smv_usd
Dic-20,"20,587.50",253.2
Mar-21,"21,600.00",240.5
Abr-21,"23,554.00",256.1
May-21,"24,408.00",260.9
Jun-21,"25,572.00",270.1
Jul-21,"27,216.00",284.3
Ago-21,"28,080.00",290.4
Set-21,"31,104.00",318.2
Oct-21,"32,000.00",324.1
Feb-22,"33,000.00",314.2
Abr-22,"38,940.00",350.9
Jun-22,"42,240.00",351.5
Ago-22,"45,540.00",347
Set-22,"51,200.00",369.1
Oct-22,"54,550.00",370.3
Nov-22,"57,900.00",369
Dic-22,"61,953.00",370.4
Ene-23,"65,427.00",369.4
Feb-23,"67,743.00",362.5
Mar-23,"69,500.00",352.5
Abr-23,"80,342.00",384.4
May-23,"84,512.00",379.7
Jun-23,"87,987.00",367.7
Jul-23,"105,500.00",411
Ago-23,"112,500.00",408.7
Set-23,"118,000.00",337.1
